Date,Open,High,Low,Close,Volume,Adj Close
2015-03-20,209.7100,211.0200,209.4900,210.4100,177715081,210.4100
2015-03-23,210.4200,211.1100,210.0000,210.0000,71784536,210.0000
2015-03-24,209.8500,210.4000,208.7400,208.8200,77805321,208.8200
2015-03-25,209.0700,209.3500,205.7100,205.7600,159521708,205.7600
2015-03-26,204.9600,206.3700,204.1200,205.2700,153067241,205.2700
2015-03-27,205.1300,205.9500,204.9000,205.7400,118938966,205.7400
2015-03-30,206.9800,208.6100,206.9600,208.2500,96180400,208.2500
2015-03-31,207.2600,208.1000,206.3600,206.4300,126768703,206.4300
2015-04-01,206.4300,206.4300,204.5100,205.7000,137303584,205.7000
2015-04-02,205.6200,206.9800,205.4000,206.4400,86900906,206.4400
2015-04-06,206.4400,208.4500,205.2100,207.8300,114368155,207.8300
2015-04-07,207.8600,208.7600,207.2400,207.2800,81236337,207.2800
2015-04-08,207.5500,208.5100,207.0800,207.9800,89351939,207.9800
2015-04-09,207.7800,209.1800,207.1900,208.9000,85548854,208.9000
2015-04-10,209.2000,210.0900,208.9600,210.0400,72722915,210.0400
2015-04-13,209.8700,210.6300,209.0300,209.0900,74436594,209.0900
2015-04-14,208.8500,209.7100,208.1000,209.4900,75099866,209.4900
2015-04-15,210.0500,211.0400,209.9500,210.4300,99529320,210.4300
2015-04-16,210.0300,210.9800,209.7900,210.3700,68934864,210.3700
2015-04-17,208.9400,209.2300,207.0100,207.9500,191113230,207.9500
2015-04-20,209.0600,210.2500,208.9600,209.8500,92189481,209.8500
2015-04-21,210.6700,210.8600,209.2400,209.6000,72559831,209.6000
2015-04-22,210.0100,210.8500,208.9000,210.6300,78264616,210.6300
2015-04-23,210.1500,211.9400,210.0100,211.1600,102585942,211.1600
2015-04-24,211.6600,211.9700,211.1100,211.6500,61327387,211.6500
2015-04-27,212.3300,212.4800,210.5400,210.7700,79358126,210.7700
2015-04-28,210.7400,211.5000,209.3300,211.4400,86863531,211.4400
2015-04-29,211.4400,211.4400,209.6000,210.5700,125684903,210.5700
2015-04-30,209.8800,210.3500,207.6200,208.4600,161304890,208.4600
2015-05-01,209.4000,210.7700,209.2800,210.7200,103399711,210.7200
2015-05-04,211.2300,212.0200,211.1000,211.3200,70927235,211.3200
2015-05-05,211.0300,211.4600,208.7300,208.9000,113326156,208.9000
2015-05-06,209.5600,209.9300,206.7600,208.0400,135060151,208.0400
2015-05-07,207.9200,209.3800,207.5200,208.8700,88244940,208.8700
2015-05-08,210.8800,211.8600,210.7800,211.6200,155877260,211.6200
2015-05-11,211.5700,211.8900,210.5200,210.6100,75708065,210.6100
2015-05-12,209.6100,210.6300,208.6200,209.9800,119727592,209.9800
2015-05-13,210.4700,211.2200,209.7400,210.0200,94667943,210.0200
2015-05-14,211.2400,212.3200,210.9100,212.2100,95934006,212.2100
2015-05-15,212.4400,212.6100,211.8600,212.4400,76510099,212.4400
2015-05-18,212.2400,213.4000,212.1600,213.1000,74549685,213.1000
2015-05-19,213.2400,213.5700,212.6900,213.0300,72114610,213.0300
2015-05-20,213.1500,213.7800,212.5000,212.8800,76857530,212.8800
2015-05-21,212.7100,213.7500,212.5100,213.5000,64764585,213.5000
2015-05-22,213.0400,213.5400,212.9100,212.9900,57433495,212.9900
2015-05-26,212.4000,212.9100,210.2000,210.7000,124308584,210.7000
2015-05-27,211.2500,212.9800,210.7600,212.7000,93213981,212.7000
2015-05-28,212.3300,212.5900,211.6300,212.4600,74974560,212.4600
2015-05-29,212.3800,212.4300,210.8200,211.1400,124919611,211.1400
2015-06-01,211.9400,212.3400,210.6200,211.5700,93338750,211.5700
2015-06-02,211.0200,212.1900,210.2700,211.3600,91531012,211.3600
2015-06-03,212.0000,212.6700,211.3300,211.9200,87820909,211.9200
